move_id,name,type,category,pp,power,accuracy,priority,effect_fn
1,Pound,Normal,Physical,35,40,100,0,apply_damaging_attack
2,Karate Chop,Fighting,Physical,25,50,100,0,apply_damaging_attack
3,Double Slap,Normal,Physical,10,15,85,0,apply_damaging_attack
4,Comet Punch,Normal,Physical,15,18,85,0,apply_damaging_attack
5,Mega Punch,Normal,Physical,20,80,85,0,apply_damaging_attack
6,Pay Day,Normal,Physical,20,40,100,0,apply_damaging_attack
7,Fire Punch,Fire,Physical,15,75,100,0,apply_damaging_attack
8,Ice Punch,Ice,Physical,15,75,100,0,apply_damaging_attack
9,Thunder Punch,Electric,Physical,15,75,100,0,apply_damaging_attack
10,Scratch,Normal,Physical,35,40,100,0,apply_damaging_attack
11,Vise Grip,Normal,Physical,30,55,100,0,apply_damaging_attack
12,Guillotine,Normal,Physical,5,INF,30,0,apply_damaging_attack
13,Razor Wind,Normal,Special,10,80,100,0,apply_damaging_attack
14,Swords Dance,Normal,Status,20,0,100,0,apply_damaging_attack
15,Cut,Normal,Physical,30,50,95,0,apply_damaging_attack
16,Gust,Flying,Special,35,40,100,0,apply_damaging_attack
17,Wing Attack,Flying,Physical,35,60,100,0,apply_damaging_attack
18,Whirlwind,Normal,Status,20,0,INF,0,apply_damaging_attack
19,Fly,Flying,Physical,15,90,95,0,apply_damaging_attack
20,Bind,Normal,Physical,20,15,85,0,apply_damaging_attack
21,Slam,Normal,Physical,20,80,75,0,apply_damaging_attack
22,Vine Whip,Grass,Physical,25,45,100,0,apply_damaging_attack
23,Stomp,Normal,Physical,20,65,100,0,apply_damaging_attack
24,Double Kick,Fighting,Physical,30,30,100,0,apply_damaging_attack
25,Mega Kick,Normal,Physical,5,120,75,0,apply_damaging_attack
26,Jump Kick,Fighting,Physical,10,100,95,0,apply_damaging_attack
27,Rolling Kick,Fighting,Physical,15,60,85,0,apply_damaging_attack
28,Sand Attack,Ground,Status,15,0,100,0,apply_damaging_attack
29,Headbutt,Normal,Physical,15,70,100,0,apply_damaging_attack
30,Horn Attack,Normal,Physical,25,65,100,0,apply_damaging_attack
31,Fury Attack,Normal,Physical,20,15,85,0,apply_damaging_attack
32,Horn Drill,Normal,Physical,5,INF,30,0,apply_damaging_attack
33,Tackle,Normal,Physical,35,40,100,0,apply_damaging_attack
34,Body Slam,Normal,Physical,15,85,100,0,apply_damaging_attack
35,Wrap,Normal,Physical,20,15,90,0,apply_damaging_attack
36,Take Down,Normal,Physical,20,90,85,0,apply_damaging_attack
37,Thrash,Normal,Physical,10,120,100,0,apply_damaging_attack
38,Double-Edge,Normal,Physical,15,120,100,0,apply_damaging_attack
39,Tail Whip,Normal,Status,30,0,100,0,apply_tail_whip
40,Poison Sting,Poison,Physical,35,15,100,0,apply_damaging_attack
41,Twineedle,Bug,Physical,20,25,100,0,apply_damaging_attack
42,Pin Missile,Bug,Physical,20,25,95,0,apply_damaging_attack
43,Leer,Normal,Status,30,0,100,0,apply_damaging_attack
44,Bite,Normal,Physical,25,60,100,0,apply_bite
45,Growl,Normal,Status,40,0,100,0,apply_growl
46,Roar,Normal,Status,20,0,INF,0,apply_damaging_attack
47,Sing,Normal,Status,15,0,55,0,apply_damaging_attack
48,Supersonic,Normal,Status,20,0,55,0,apply_damaging_attack
49,Sonic Boom,Normal,Special,20,0,90,0,apply_damaging_attack
50,Disable,Normal,Status,20,0,100,0,apply_damaging_attack
51,Acid,Poison,Special,30,40,100,0,apply_acid
52,Ember,Fire,Special,25,40,100,0,apply_damaging_attack
53,Flamethrower,Fire,Special,15,90,100,0,apply_damaging_attack
54,Mist,Ice,Status,30,0,100,0,apply_damaging_attack
55,Water Gun,Water,Special,25,40,100,0,apply_damaging_attack
56,Hydro Pump,Water,Special,5,110,80,0,apply_damaging_attack
57,Surf,Water,Special,15,90,100,0,apply_damaging_attack
